"Trait" "Outcome" "type" "Moderator" "Covariate"
"A" "crystallized" "Bayesian" "age" "all"
"A" "crystallized" "Bayesian" "age" "none"
"A" "crystallized" "Bayesian" "education" "all"
"A" "crystallized" "Bayesian" "education" "none"
"A" "crystallized" "Bayesian" "gender" "all"
"A" "crystallized" "Bayesian" "gender" "none"
"C" "crystallized" "Bayesian" "age" "all"
"C" "crystallized" "Bayesian" "age" "none"
"C" "crystallized" "Bayesian" "education" "all"
"C" "crystallized" "Bayesian" "education" "none"
"C" "crystallized" "Bayesian" "gender" "all"
"C" "crystallized" "Bayesian" "gender" "none"
"E" "crystallized" "Bayesian" "age" "all"
"E" "crystallized" "Bayesian" "age" "none"
"E" "crystallized" "Bayesian" "education" "all"
"E" "crystallized" "Bayesian" "education" "none"
"E" "crystallized" "Bayesian" "gender" "all"
"E" "crystallized" "Bayesian" "gender" "none"
"N" "crystallized" "Bayesian" "age" "all"
"N" "crystallized" "Bayesian" "age" "none"
"N" "crystallized" "Bayesian" "education" "all"
"N" "crystallized" "Bayesian" "education" "none"
"N" "crystallized" "Bayesian" "gender" "all"
"N" "crystallized" "Bayesian" "gender" "none"
"O" "crystallized" "Bayesian" "age" "all"
"O" "crystallized" "Bayesian" "age" "none"
"O" "crystallized" "Bayesian" "education" "all"
"O" "crystallized" "Bayesian" "education" "none"
"O" "crystallized" "Bayesian" "gender" "all"
"O" "crystallized" "Bayesian" "gender" "none"
"A" "crystallized" "Bayesian" "none" "age"
"A" "crystallized" "Bayesian" "none" "all"
"A" "crystallized" "Bayesian" "none" "education"
"A" "crystallized" "Bayesian" "none" "gender"
"A" "crystallized" "Bayesian" "none" "none"
"C" "crystallized" "Bayesian" "none" "age"
"C" "crystallized" "Bayesian" "none" "all"
"C" "crystallized" "Bayesian" "none" "education"
"C" "crystallized" "Bayesian" "none" "gender"
"C" "crystallized" "Bayesian" "none" "none"
"E" "crystallized" "Bayesian" "none" "age"
"E" "crystallized" "Bayesian" "none" "all"
"E" "crystallized" "Bayesian" "none" "education"
"E" "crystallized" "Bayesian" "none" "gender"
"E" "crystallized" "Bayesian" "none" "none"
"N" "crystallized" "Bayesian" "none" "age"
"N" "crystallized" "Bayesian" "none" "all"
"N" "crystallized" "Bayesian" "none" "education"
"N" "crystallized" "Bayesian" "none" "gender"
"N" "crystallized" "Bayesian" "none" "none"
"O" "crystallized" "Bayesian" "none" "age"
"O" "crystallized" "Bayesian" "none" "all"
"O" "crystallized" "Bayesian" "none" "education"
"O" "crystallized" "Bayesian" "none" "gender"
"O" "crystallized" "Bayesian" "none" "none"
