"Trait" "Outcome" "type" "Moderator" "Covariate"
"N" "crystallized" "Frequentist" "age" "all"
"N" "crystallized" "Frequentist" "age" "none"
"N" "crystallized" "Frequentist" "education" "all"
"N" "crystallized" "Frequentist" "education" "none"
"N" "crystallized" "Frequentist" "baseAge" "age"
"N" "crystallized" "Frequentist" "baseAge" "all"
"N" "crystallized" "Frequentist" "baseAge" "education"
"N" "crystallized" "Frequentist" "baseAge" "gender"
"N" "crystallized" "Frequentist" "baseAge" "none"
"N" "crystallized" "Frequentist" "baseYear" "age"
"N" "crystallized" "Frequentist" "baseYear" "all"
"N" "crystallized" "Frequentist" "baseYear" "education"
"N" "crystallized" "Frequentist" "baseYear" "gender"
"N" "crystallized" "Frequentist" "baseYear" "none"
"N" "crystallized" "Frequentist" "predInt" "age"
"N" "crystallized" "Frequentist" "predInt" "all"
"N" "crystallized" "Frequentist" "predInt" "education"
"N" "crystallized" "Frequentist" "predInt" "gender"
"N" "crystallized" "Frequentist" "predInt" "none"
